control_index,t,rudder_deg_ref,rudder_deg_pil,rudder_error_deg,sail_deg_ref,sail_deg_pil,sail_error_deg,solver_status_pil,candidate_type_selected_pil,candidate_set_size_pil,intervention_pil
0,0.0,-35.0,-35.0,0.0,82.50000000000001,82.5,-1.4210854715202004e-14,sampled_horizon_raw_safe,nominal,82,False
1,1.0,-35.0,-35.0,0.0,82.49451144120778,82.49451144120778,0.0,sampled_horizon_raw_safe,nominal,82,False
2,2.0,-35.0,-35.0,0.0,82.42426864157976,82.42426864157976,0.0,sampled_horizon_raw_safe,nominal,82,False
3,3.0000000000000004,-35.0,-35.0,0.0,82.16655417125102,82.16655417125102,0.0,sampled_horizon_raw_safe,nominal,82,False
4,4.000000000000001,-35.0,-35.0,0.0,81.57604425354076,81.57604425354076,0.0,sampled_horizon_raw_safe,nominal,82,False
5,5.000000000000002,-35.0,-35.0,0.0,80.50613185880128,80.50613185880128,0.0,sampled_horizon_raw_safe,nominal,82,False
6,6.000000000000003,-35.0,-35.0,0.0,66.75000000000001,66.75000000000001,0.0,sampled_horizon_raw_safe,rudder_sail_grid,82,True
7,7.000000000000004,-35.0,-35.0,0.0,66.75000000000001,66.75000000000001,0.0,sampled_horizon_raw_safe,rudder_sail_grid,82,True
8,8.000000000000004,-35.0,-35.0,0.0,66.75000000000001,66.75000000000001,0.0,sampled_horizon_raw_safe,rudder_sail_grid,82,True
9,9.0,-28.0,-28.0,0.0,48.5,48.50000000000001,7.105427357601002e-15,sampled_horizon_raw_safe,rudder_sail_grid,82,True
10,9.999999999999996,-21.0,-21.0,0.0,48.5,48.50000000000001,7.105427357601002e-15,sampled_horizon_raw_safe,rudder_sail_grid,82,True
11,10.999999999999991,-14.0,-14.000000000000002,-1.7763568394002505e-15,48.5,48.50000000000001,7.105427357601002e-15,sampled_horizon_raw_safe,rudder_sail_grid,82,True
12,11.99999999999999,-13.124999999999998,-13.124999999999998,0.0,52.74226499870526,52.74226499870527,7.105427357601002e-15,sampled_horizon_raw_safe,rudder_sweep,82,True
13,12.999999999999986,-8.75,-8.750000000000002,-1.7763568394002505e-15,48.13453648076538,48.13453648076536,-1.4210854715202004e-14,sampled_horizon_raw_safe,rudder_sweep,82,True
14,13.999999999999982,-4.375000000000002,-4.375000000000002,0.0,44.05715350788471,44.05715350788471,0.0,sampled_horizon_raw_safe,rudder_sweep,82,True
15,14.99999999999998,-4.375000000000002,-4.375000000000002,0.0,40.983160971500936,40.983160971500936,0.0,sampled_horizon_raw_safe,rudder_sweep,82,True
16,15.999999999999975,0.0,0.0,0.0,38.69596847664502,38.69596847664502,0.0,sampled_horizon_raw_safe,rudder_sweep,82,True
17,16.99999999999997,0.0,0.0,0.0,37.27752469113049,37.27752469113049,0.0,sampled_horizon_raw_safe,rudder_sweep,82,True
18,17.999999999999968,0.0,0.0,0.0,36.65279360650912,36.65279360650912,0.0,sampled_horizon_raw_safe,rudder_sweep,82,True
19,18.999999999999964,0.0,0.0,0.0,36.37764070155943,36.37764070155943,0.0,sampled_horizon_raw_safe,rudder_sweep,82,True
20,19.99999999999996,4.375000000000002,4.375000000000002,0.0,36.25645396543254,36.25645396543255,7.105427357601002e-15,sampled_horizon_raw_safe,rudder_sweep,82,True
21,20.99999999999996,0.0,0.0,0.0,36.778066311300414,36.778066311300414,0.0,sampled_horizon_raw_safe,rudder_sweep,82,True
22,21.999999999999957,4.375000000000002,4.375000000000002,0.0,37.44686302013006,37.44686302013006,0.0,sampled_horizon_raw_safe,rudder_sweep,82,True
23,22.99999999999995,0.0,0.0,0.0,38.32324658868616,38.32324658868616,0.0,sampled_horizon_raw_safe,rudder_sweep,82,True
24,23.999999999999947,4.375000000000002,4.375000000000002,0.0,39.153202532629166,39.153202532629166,0.0,sampled_horizon_raw_safe,rudder_sweep,82,True
25,24.999999999999943,0.0,0.0,0.0,40.10543641415328,40.10543641415328,0.0,sampled_horizon_raw_safe,rudder_sweep,82,True
26,25.99999999999994,0.0,0.0,0.0,40.972314955866025,40.97231495586603,7.105427357601002e-15,sampled_horizon_raw_safe,rudder_sweep,82,True
27,26.999999999999936,0.0,0.0,0.0,41.35411787053196,41.35411787053195,-7.105427357601002e-15,sampled_horizon_raw_safe,rudder_sweep,82,True
28,27.99999999999993,2.520465469131528,2.520465469131528,0.0,41.52227691315789,41.52227691315789,0.0,sampled_horizon_raw_safe,beam_reach,82,True
29,28.99999999999993,0.8030630680221447,0.803063068022145,3.3306690738754696e-16,41.93786149790429,41.93786149790431,2.1316282072803006e-14,sampled_horizon_raw_safe,beam_reach,82,True
30,29.999999999999925,0.0,0.0,0.0,42.49023921505441,42.4902392150544,-7.105427357601002e-15,sampled_horizon_raw_safe,rudder_sweep,82,True
31,30.99999999999992,0.0,0.0,0.0,42.8166078073018,42.8166078073018,0.0,sampled_horizon_raw_safe,rudder_sweep,82,True
32,31.99999999999992,0.0,0.0,0.0,66.75000000000001,66.75000000000001,0.0,sampled_horizon_raw_safe,rudder_sail_grid,82,True
33,32.99999999999993,14.0,13.999999999999996,-3.552713678800501e-15,66.75000000000001,66.75000000000001,0.0,sampled_horizon_raw_safe,rudder_sail_grid,82,True
34,33.99999999999994,17.5,17.5,0.0,44.95787709073316,44.95787709073316,0.0,sampled_horizon_raw_safe,rudder_sweep,82,True
35,34.99999999999996,14.0,13.999999999999996,-3.552713678800501e-15,12.000000000000002,12.000000000000002,0.0,sampled_horizon_raw_safe,rudder_sail_grid,83,True
36,35.99999999999997,14.0,13.999999999999996,-3.552713678800501e-15,12.000000000000002,12.000000000000002,0.0,sampled_horizon_raw_safe,rudder_sail_grid,83,True
37,36.99999999999999,14.0,13.999999999999996,-3.552713678800501e-15,12.000000000000002,12.000000000000002,0.0,sampled_horizon_raw_safe,rudder_sail_grid,83,True
38,38.0,14.0,13.999999999999996,-3.552713678800501e-15,12.000000000000002,12.000000000000002,0.0,sampled_horizon_raw_safe,rudder_sail_grid,84,True
39,39.000000000000014,6.999999999999997,6.999999999999997,0.0,12.000000000000002,12.000000000000002,0.0,sampled_horizon_raw_safe,rudder_sail_grid,84,True
40,40.00000000000003,4.375000000000002,4.375000000000002,0.0,78.2093920895741,78.2093920895741,0.0,sampled_horizon_raw_safe,rudder_sweep,84,True
41,41.00000000000004,-8.75,-8.750000000000002,-1.7763568394002505e-15,81.70122510951931,81.70122510951931,0.0,sampled_horizon_raw_safe,rudder_sweep,84,True
42,42.00000000000006,-8.75,-8.750000000000002,-1.7763568394002505e-15,82.52231316374831,82.52231316374831,0.0,sampled_horizon_raw_safe,rudder_sweep,84,True
43,43.00000000000007,-8.75,-8.750000000000002,-1.7763568394002505e-15,80.84669925969693,80.84669925969693,0.0,sampled_horizon_raw_safe,rudder_sweep,84,True
44,44.000000000000085,-8.75,-8.750000000000002,-1.7763568394002505e-15,78.07979847223324,78.07979847223324,0.0,sampled_horizon_raw_safe,rudder_sweep,84,True
45,45.0000000000001,-7.0,-7.000000000000001,-8.881784197001252e-16,66.75000000000001,66.75000000000001,0.0,sampled_horizon_raw_safe,rudder_sail_grid,84,True
46,46.000000000000114,-7.0,-7.000000000000001,-8.881784197001252e-16,66.75000000000001,66.75000000000001,0.0,sampled_horizon_raw_safe,rudder_sail_grid,84,True
47,47.00000000000013,-4.375000000000002,-4.375000000000002,0.0,68.59272177680944,68.59272177680944,0.0,sampled_horizon_raw_safe,rudder_sweep,84,True
48,48.00000000000014,-4.375000000000002,-4.375000000000002,0.0,65.9873541804582,65.98735418045818,-1.4210854715202004e-14,sampled_horizon_raw_safe,rudder_sweep,84,True
49,49.00000000000016,-4.375000000000002,-4.375000000000002,0.0,63.8285432661674,63.8285432661674,0.0,sampled_horizon_raw_safe,rudder_sweep,84,True
50,50.00000000000017,-4.375000000000002,-4.375000000000002,0.0,61.86351239713608,61.86351239713609,1.4210854715202004e-14,sampled_horizon_raw_safe,rudder_sweep,84,True
51,51.000000000000185,-4.375000000000002,-4.375000000000002,0.0,59.98047900440408,59.98047900440408,0.0,sampled_horizon_raw_safe,rudder_sweep,84,True
52,52.0000000000002,-4.375000000000002,-4.375000000000002,0.0,58.12998434533484,58.12998434533484,0.0,sampled_horizon_raw_safe,rudder_sweep,84,True
53,53.00000000000021,-4.375000000000002,-4.375000000000002,0.0,56.290180486100645,56.29018048610064,-7.105427357601002e-15,sampled_horizon_raw_safe,rudder_sweep,84,True
54,54.00000000000023,-4.375000000000002,-4.375000000000002,0.0,54.45150084682808,54.45150084682808,0.0,sampled_horizon_raw_safe,rudder_sweep,83,True
55,55.00000000000024,-4.375000000000002,-4.375000000000002,0.0,52.60987863925194,52.60987863925194,0.0,sampled_horizon_raw_safe,rudder_sweep,83,True
56,56.000000000000256,-7.0,-7.000000000000001,-8.881784197001252e-16,48.5,48.50000000000001,7.105427357601002e-15,sampled_horizon_raw_safe,rudder_sail_grid,83,True
57,57.00000000000027,-4.375000000000002,-4.375000000000002,0.0,48.55886999837303,48.55886999837303,0.0,sampled_horizon_raw_safe,rudder_sweep,83,True
58,58.00000000000029,-7.0,-7.000000000000001,-8.881784197001252e-16,48.5,48.50000000000001,7.105427357601002e-15,sampled_horizon_raw_safe,rudder_sail_grid,83,True
59,59.0000000000003,-4.375000000000002,-4.375000000000002,0.0,43.873981067557736,43.873981067557736,0.0,sampled_horizon_raw_safe,rudder_sweep,83,True
60,60.00000000000031,-4.375000000000002,-4.375000000000002,0.0,41.4994033679287,41.4994033679287,0.0,sampled_horizon_raw_safe,rudder_sweep,83,True
61,61.00000000000033,-7.0,-7.000000000000001,-8.881784197001252e-16,30.25,30.25,0.0,sampled_horizon_raw_safe,rudder_sail_grid,83,True
62,62.00000000000034,-4.375000000000002,-4.375000000000002,0.0,37.08006860991166,37.08006860991166,0.0,sampled_horizon_raw_safe,rudder_sweep,83,True
63,63.00000000000036,-4.375000000000002,-4.375000000000002,0.0,34.7343506169028,34.7343506169028,0.0,sampled_horizon_raw_safe,rudder_sweep,83,True
64,64.00000000000037,0.0,0.0,0.0,30.25,30.25,0.0,sampled_horizon_raw_safe,rudder_sail_grid,83,True
65,65.00000000000038,0.0,0.0,0.0,30.25,30.25,0.0,sampled_horizon_raw_safe,rudder_sail_grid,83,True
66,66.0000000000004,0.0,0.0,0.0,30.25,30.25,0.0,sampled_horizon_raw_safe,rudder_sail_grid,83,True
67,67.00000000000041,-3.620504999486181,-3.620504999486181,0.0,30.410863628363227,30.410863628363227,0.0,sampled_horizon_raw_safe,nominal,83,False
68,68.00000000000043,-1.125036963738752,-1.125036963738752,0.0,29.80107483175001,29.80107483175001,0.0,sampled_horizon_raw_safe,nominal,83,False
69,69.00000000000044,0.0,0.0,0.0,29.00421274592189,29.00421274592189,0.0,sampled_horizon_raw_safe,rudder_sweep,83,True
70,70.00000000000045,-2.467217842010916,-2.4672178420108817,3.419486915845482e-14,28.536713213579272,28.536713213579272,0.0,sampled_horizon_raw_safe,goal_projected,83,True
71,71.00000000000047,-0.5450601347145038,-0.5450601347145129,-9.103828801926284e-15,27.996145601906044,27.99614560190607,2.4868995751603507e-14,sampled_horizon_raw_safe,goal_projected,83,True
72,72.00000000000048,0.0,0.0,0.0,27.429454751247373,27.429454751247395,2.1316282072803006e-14,sampled_horizon_raw_safe,rudder_sweep,81,True
73,73.0000000000005,0.0,0.0,0.0,27.123688054882276,27.123688054882276,0.0,sampled_horizon_raw_safe,rudder_sweep,81,True
74,74.00000000000051,0.0,0.0,0.0,26.98901795952,26.98901795951999,-1.0658141036401503e-14,sampled_horizon_raw_safe,rudder_sweep,81,True
75,75.00000000000053,0.0,0.0,0.0,26.92970465038438,26.92970465038438,0.0,sampled_horizon_raw_safe,rudder_sweep,81,True
76,76.00000000000054,0.0,0.0,0.0,26.90358104342357,26.90358104342357,0.0,sampled_horizon_raw_safe,rudder_sweep,81,True
77,77.00000000000055,0.0,0.0,0.0,85.0,85.0,0.0,sampled_horizon_raw_safe,rudder_sail_grid,81,True
78,78.00000000000057,0.0,0.0,0.0,85.0,85.0,0.0,sampled_horizon_raw_safe,rudder_sail_grid,81,True
79,79.00000000000058,0.0,0.0,0.0,85.0,85.0,0.0,sampled_horizon_raw_safe,rudder_sail_grid,81,True
80,80.0000000000006,-35.0,-35.0,0.0,26.88379288381751,26.88379288381751,0.0,inactive_passthrough,nominal_passthrough,1,False
81,81.00000000000061,-35.0,-35.0,0.0,22.29976507014371,22.29976507014371,0.0,inactive_passthrough,nominal_passthrough,1,False
82,82.00000000000063,-35.0,-35.0,0.0,12.237757146305809,12.237757146305812,3.552713678800501e-15,inactive_passthrough,nominal_passthrough,1,False
